"","WMFDH_SAMPLE_ID","WMFDH_MACRO_FAMILY"
"1","44.34728_-74.3144_20240912","(DIPTERA) TABANIDAE"
"2","44.34728_-74.3144_20240912","(ODONATA: ANISOPTERA) CORDULEGASTRIDAE"
"3","44.34728_-74.3144_20240912","(CRUSTACEA: ISOPODA) ASELLOTA"
"4","44.34728_-74.3144_20240912","(DIPTERA) TIPULIDAE"
"5","43.02120495510088_-73.3711509361763_20240708","(MEGALOPTERA) CORYDALIDAE"
"6","43.02120495510088_-73.3711509361763_20240708","(PLECOPTERA) PERLIDAE"
"7","43.02120495510088_-73.3711509361763_20240708","(DIPTERA: CHIRONOMIDAE) CHIRONOMUS"
"8","43.02120495510088_-73.3711509361763_20240708","(TRICHOPTERA) PHILOPOTAMIDAE"
"9","43.02120495510088_-73.3711509361763_20240708","(TRICHOPTERA) GLOSSOSOMATIDAE"
"10","43.02120495510088_-73.3711509361763_20240708","(PLECOPTERA) CAPNIIDAE"
"11","43.02120495510088_-73.3711509361763_20240708","(DIPTERA) ATHERICIDAE"
"12","43.02120495510088_-73.3711509361763_20240708","(EPHEMEROPTERA) EPHEMERELLIDAE"
"13","43.02120495510088_-73.3711509361763_20240708","(COLEOPTERA) PSEPHENIDAE"
"14","43.02120495510088_-73.3711509361763_20240708","(TRICHOPTERA) HYDROPSYCHIDAE"
"15","43.30597726166349_-73.58060653124821_20240715","(TRICHOPTERA) LEPTOCERIDAE"
"16","43.30597726166349_-73.58060653124821_20240715","(MOLLUSCA: GASTROPODA) PHYSIDAE"
"17","43.30597726166349_-73.58060653124821_20240715","(WORMLIKE) OLIGOCHAETA"
"18","43.30597726166349_-73.58060653124821_20240715","(TRICHOPTERA) PHILOPOTAMIDAE"
"19","43.30597726166349_-73.58060653124821_20240715","(CRUSTACEA: AMPHIPODA) GAMMARIDEA"
"20","43.30597726166349_-73.58060653124821_20240715","(EPHEMEROPTERA) BAETIDAE"
"21","43.30597726166349_-73.58060653124821_20240715","(DIPTERA) CHIRONOMIDAE"
"22","43.30597726166349_-73.58060653124821_20240715","(WORMLIKE) TRICLADIDA, PLANARIDAE"
"23","43.162068_-73.505096_20240702","(DIPTERA) TIPULIDAE"
"24","43.162068_-73.505096_20240702","(WORMLIKE) OLIGOCHAETA"
"25","43.162068_-73.505096_20240702","(TRICHOPTERA) HYDROPSYCHIDAE"
"26","43.162068_-73.505096_20240702","(TRICHOPTERA) RHYACOPHILIDAE"
"27","43.162068_-73.505096_20240702","(EPHEMEROPTERA) LEPTOPHLEBIIDAE"
"28","42.99248133378242_-73.48019699388313_20240708","(DIPTERA) TIPULIDAE"
"29","42.99248133378242_-73.48019699388313_20240708","(TRICHOPTERA) HYDROPSYCHIDAE"
"30","42.99248133378242_-73.48019699388313_20240708","(DIPTERA: CHIRONOMIDAE) CHIRONOMUS"
"31","42.99248133378242_-73.48019699388313_20240708","(TRICHOPTERA) PHILOPOTAMIDAE"
"32","42.99248133378242_-73.48019699388313_20240708","(EPHEMEROPTERA) BAETIDAE"
"33","42.99248133378242_-73.48019699388313_20240708","(TRICHOPTERA) RHYACOPHILIDAE"
"34","42.99248133378242_-73.48019699388313_20240708","(PLECOPTERA) PERLIDAE"
"35","44.34728_-74.3144_20240912","(CRUSTACEA: ISOPODA) ASELLOTA"
"36","44.34728_-74.3144_20240912","(DIPTERA: CHIRONOMIDAE) CHIRONOMUS"
"37","44.34776_-74.27807_20240905","(TRICHOPTERA) HYDROPSYCHIDAE"
"38","42.059444_-76.343056_20240707","(COLEOPTERA) GYRINIDAE"
"39","42.059444_-76.343056_20240707","(DIPTERA) LIMONIIDAE"
"40","42.059444_-76.343056_20240707","(DIPTERA) ATHERICIDAE"
"41","42.059444_-76.343056_20240707","(PLECOPTERA) PERLIDAE"
"42","42.059444_-76.343056_20240707","(DIPTERA) TIPULIDAE"
"43","42.059444_-76.343056_20240707","(COLEOPTERA) ELMIDAE"
"44","42.059444_-76.343056_20240707","(EPHEMEROPTERA) ISONYCHIIDAE"
"45","42.615252_-76.875636_20240811","(TRICHOPTERA) HYDROPSYCHIDAE"
"46","42.615252_-76.875636_20240811","(EPHEMEROPTERA) SIPHLONURIDAE"
"47","42.615252_-76.875636_20240811","(COLEOPTERA) ELMIDAE"
"48","42.615252_-76.875636_20240811","(COLEOPTERA) PSEPHENIDAE"
"49","42.615252_-76.875636_20240811","(EPHEMEROPTERA) BAETIDAE"
"50","42.615252_-76.875636_20240811","(EPHEMEROPTERA) HEPTAGENIIDAE"
"51","42.615252_-76.875636_20240811","(DIPTERA: CHIRONOMIDAE) CHIRONOMUS"
"52","42.8689_-76.9944_20240817","(TRICHOPTERA) HYDROPSYCHIDAE"
"53","42.8689_-76.9944_20240817","(CRUSTACEA: ISOPODA) ASELLOTA"
"54","42.8689_-76.9944_20240817","(TRICHOPTERA) PHILOPOTAMIDAE"
"55","42.8689_-76.9944_20240817","(DIPTERA) ATHERICIDAE"
"56","42.8689_-76.9944_20240817","(ODONATA: ANISOPTERA) AESHNIDAE"
"57","42.8689_-76.9944_20240817","(CRUSTACEA: DECAPODA) PLEOCYEMATA: CAMBARIDAE"
"58","43.449307780897215_-74.2425485813148_20240829","(EPHEMEROPTERA) ISONYCHIIDAE"
"59","43.449307780897215_-74.2425485813148_20240829","(ODONATA: ANISOPTERA) AESHNIDAE"
"60","43.449307780897215_-74.2425485813148_20240829","(EPHEMEROPTERA) BAETISCIDAE"
"61","43.449307780897215_-74.2425485813148_20240829","(TRICHOPTERA) PHILOPOTAMIDAE"
"62","43.449307780897215_-74.2425485813148_20240829","(ODONATA: ANISOPTERA) GOMPHIDAE"
"63","44.431985539476884_-74.30052555073048_20240830","(TRICHOPTERA) HYDROPSYCHIDAE"
"64","44.431985539476884_-74.30052555073048_20240830","(MOLLUSCA: BIVALVIA) SPHAERIIDAE "
"65","44.431985539476884_-74.30052555073048_20240830","(ODONATA: ANISOPTERA) AESHNIDAE"
"66","44.431985539476884_-74.30052555073048_20240830","(WORMLIKE) OLIGOCHAETA"
"67","44.431985539476884_-74.30052555073048_20240830","(WORMLIKE) HIRUDINEA"
"68","44.431985539476884_-74.30052555073048_20240830","(ODONATA: ANISOPTERA) GOMPHIDAE"
"69","43.05882287658514_-75.38880916345954_20240818","(EPHEMEROPTERA) HEPTAGENIIDAE"
"70","43.05882287658514_-75.38880916345954_20240818","(CRUSTACEA: AMPHIPODA) GAMMARIDEA"
"71","43.05882287658514_-75.38880916345954_20240818","(PLECOPTERA) PERLIDAE"
"72","43.05882287658514_-75.38880916345954_20240818","(DIPTERA) CHIRONOMIDAE"
"73","43.05882287658514_-75.38880916345954_20240818","(WORMLIKE) OLIGOCHAETA"
"74","43.05882287658514_-75.38880916345954_20240818","(DIPTERA) ATHERICIDAE"
"75","43.05882287658514_-75.38880916345954_20240818","(TRICHOPTERA) HYDROPSYCHIDAE"
"76","43.05882287658514_-75.38880916345954_20240818","(DIPTERA) LIMONIIDAE"
"77","43.05882287658514_-75.38880916345954_20240818","(DIPTERA) TIPULIDAE"
"78","43.22669393030721_-75.28654315239251_20240818","(COLEOPTERA) ELMIDAE"
"79","43.22669393030721_-75.28654315239251_20240818","(EPHEMEROPTERA) HEPTAGENIIDAE"
"80","43.22669393030721_-75.28654315239251_20240818","(DIPTERA) TIPULIDAE"
"81","43.22669393030721_-75.28654315239251_20240818","(DIPTERA) LIMONIIDAE"
"82","","(EPHEMEROPTERA) BAETIDAE"
"83","","(OTHER) HYDRACHNIDIA"
"84","","(PLECOPTERA) PTERONARCIDAE"
"85","","(TRICHOPTERA) HYDROPSYCHIDAE"
"86","","(EPHEMEROPTERA) LEPTOPHLEBIIDAE"
"87","","(PLECOPTERA) PERLIDAE"
"88","","(PLECOPTERA) PERLODIDAE"
"89","","(PLECOPTERA) CHLOROPERLIDAE"
"90","","(DIPTERA) LIMONIIDAE"
"91","","(TRICHOPTERA) PHILOPOTAMIDAE"
"92","","(EPHEMEROPTERA) EPHEMERELLIDAE"
"93","44.292357_-74.315412_20240827","(CRUSTACEA: ISOPODA) VALVIFERA"
"94","44.292357_-74.315412_20240827","(MOLLUSCA: GASTROPODA) LYMNAEIDAE"
"95","44.292357_-74.315412_20240827","(DIPTERA: CHIRONOMIDAE) CHIRONOMUS"
"96","44.292357_-74.315412_20240827","(TRICHOPTERA) POLYCENTROPODIDAE"
"97","44.292357_-74.315412_20240827","(MOLLUSCA: GASTROPODA) PHYSIDAE"
"98","44.292357_-74.315412_20240827","(TRICHOPTERA) PHRYGANEIDAE"
"99","42.877761_-73.4946989_20240730","(COLEOPTERA) PSEPHENIDAE"
"100","42.877761_-73.4946989_20240730","(DIPTERA: CHIRONOMIDAE) CHIRONOMUS"
"101","42.877761_-73.4946989_20240730","(COLEOPTERA) ELMIDAE"
"102","42.877761_-73.4946989_20240730","(HEMIPTERA) OTHER"
"103","42.877761_-73.4946989_20240730","(DIPTERA) ATHERICIDAE"
"104","42.877761_-73.4946989_20240730","(EPHEMEROPTERA) HEPTAGENIIDAE"
"105","42.877761_-73.4946989_20240730","(CRUSTACEA: DECAPODA) PLEOCYEMATA: CAMBARIDAE"
"106","42.877761_-73.4946989_20240730","(ODONATA: ANISOPTERA) GOMPHIDAE"
"107","42.877761_-73.4946989_20240730","(TRICHOPTERA) LIMNEPHILIDAE"
"108","42.877761_-73.4946989_20240730","(PLECOPTERA) CHLOROPERLIDAE"
"109","42.877761_-73.4946989_20240730","(TRICHOPTERA) PHILOPOTAMIDAE"
"110","42.877761_-73.4946989_20240730","(PLECOPTERA) PERLIDAE"
"111","42.61253639999927_-76.8493462999987_20240926","(COLEOPTERA) PSEPHENIDAE"
"112","42.61253639999927_-76.8493462999987_20240926","(CRUSTACEA: DECAPODA) PLEOCYEMATA: CAMBARIDAE"
"113","42.61253639999927_-76.8493462999987_20240926","(PLECOPTERA) PERLIDAE"
"114","42.61253639999927_-76.8493462999987_20240926","(TRICHOPTERA) HYDROPSYCHIDAE"
"115","42.61253639999927_-76.8493462999987_20240926","(PLECOPTERA) PERLODIDAE"
"116","42.61253639999927_-76.8493462999987_20240926","(WORMLIKE) TRICLADIDA, PLANARIDAE"
"117","42.61253639999927_-76.8493462999987_20240926","(HEMIPTERA) OTHER"
"118","42.61253639999927_-76.8493462999987_20240926","(TRICHOPTERA) PHILOPOTAMIDAE"
"119","42.61253639999927_-76.8493462999987_20240926","(EPHEMEROPTERA) HEPTAGENIIDAE"
"120","42.61253639999927_-76.8493462999987_20240926","() "
"121","42.61253639999927_-76.8493462999987_20240926","(DIPTERA: CHIRONOMIDAE) "
"122","44.27658_-74.34847_20240928","() "
"123","44.27658_-74.34847_20240928","(CRUSTACEA: ISOPODA) ASELLOTA"
"124","44.27658_-74.34847_20240928","(MOLLUSCA: BIVALVIA) PISIDIIDAE"
"125","44.27658_-74.34847_20240928","(DIPTERA: CHIRONOMIDAE) CHIRONOMUS"
"126","42.194940898129545_-74.09719180549457_20240912","(ODONATA: ANISOPTERA) AESHNIDAE"
"127","42.194940898129545_-74.09719180549457_20240912","(EPHEMEROPTERA) ISONYCHIIDAE"
"128","42.194940898129545_-74.09719180549457_20240912","(EPHEMEROPTERA) HEPTAGENIIDAE"
"129","42.194940898129545_-74.09719180549457_20240912","(DIPTERA) LIMONIIDAE"
"130","42.194940898129545_-74.09719180549457_20240912","(PLECOPTERA) PERLIDAE"
"131","42.194940898129545_-74.09719180549457_20240912","(TRICHOPTERA) PHILOPOTAMIDAE"
"132","42.194940898129545_-74.09719180549457_20240912","(EPHEMEROPTERA) BAETIDAE"
"133","42.194940898129545_-74.09719180549457_20240912","(TRICHOPTERA) HYDROPSYCHIDAE"
"134","42.336944_-76.838056_20240804","(COLEOPTERA) PSEPHENIDAE"
"135","42.336944_-76.838056_20240804","(COLEOPTERA) ELMIDAE"
"136","42.336944_-76.838056_20240804","(EPHEMEROPTERA) EPHEMERELLIDAE"
"137","42.336944_-76.838056_20240804","(EPHEMEROPTERA) BAETIDAE"
"138","42.336944_-76.838056_20240804","(EPHEMEROPTERA) ISONYCHIIDAE"
"139","42.336944_-76.838056_20240804","(TRICHOPTERA) PHILOPOTAMIDAE"
"140","42.336944_-76.838056_20240804","(WORMLIKE) TRICLADIDA, PLANARIDAE"
"141","42.336944_-76.838056_20240804","(CRUSTACEA: AMPHIPODA) GAMMARIDEA"
"142","42.336944_-76.838056_20240804","(TRICHOPTERA) HYDROPSYCHIDAE"
"143","42.336944_-76.838056_20240804","(DIPTERA) ATHERICIDAE"
"144","42.336944_-76.838056_20240804","(PLECOPTERA) PERLIDAE"
"145","42.336944_-76.838056_20240804","(EPHEMEROPTERA) HEPTAGENIIDAE"
"146","42.540916_-75.508265_20240808","(TRICHOPTERA) PHILOPOTAMIDAE"
"147","42.540916_-75.508265_20240808","(TRICHOPTERA) HYDROPSYCHIDAE"
"148","42.540916_-75.508265_20240808","(CRUSTACEA: DECAPODA) PLEOCYEMATA: CAMBARIDAE"
"149","42.540916_-75.508265_20240808","(WORMLIKE) OLIGOCHAETA"
"150","42.540916_-75.508265_20240808","(COLEOPTERA) PSEPHENIDAE"
"151","42.540916_-75.508265_20240808","(COLEOPTERA) ELMIDAE"
"152","42.540916_-75.508265_20240808","(MEGALOPTERA) CORYDALIDAE"
"153","42.540916_-75.508265_20240808","(PLECOPTERA) PERLIDAE"
"154","42.540916_-75.508265_20240808","(EPHEMEROPTERA) HEPTAGENIIDAE"
"155","42.765_-76.976525_20240915","(COLEOPTERA) HALIPLIDAE"
"156","42.765_-76.976525_20240915","(WORMLIKE) TRICLADIDA, PLANARIDAE"
"157","42.765_-76.976525_20240915","(MOLLUSCA: GASTROPODA) PHYSIDAE"
"158","42.765_-76.976525_20240915","(DIPTERA: CHIRONOMIDAE) CHIRONOMUS"
"159","42.765_-76.976525_20240915","(WORMLIKE) OLIGOCHAETA"
"160","42.765_-76.976525_20240915","(TRICHOPTERA) HYDROPSYCHIDAE"
"161","42.765_-76.976525_20240915","(DIPTERA) TIPULIDAE"
"162","42.61573474869175_-76.87378560677_20240926","(WORMLIKE) TRICLADIDA, PLANARIDAE"
"163","42.61573474869175_-76.87378560677_20240926","(COLEOPTERA) ELMIDAE"
"164","42.61573474869175_-76.87378560677_20240926","(TRICHOPTERA) PHILOPOTAMIDAE"
"165","42.61573474869175_-76.87378560677_20240926","(TRICHOPTERA) HYDROPSYCHIDAE"
"166","42.61573474869175_-76.87378560677_20240926","(COLEOPTERA) PSEPHENIDAE"
"167","42.61573474869175_-76.87378560677_20240926","(EPHEMEROPTERA) LEPTOPHLEBIIDAE"
"168","42.61573474869175_-76.87378560677_20240926","(DIPTERA: CHIRONOMIDAE) "
"169","42.61573474869175_-76.87378560677_20240926","(PLECOPTERA) PERLIDAE"
"170","42.64983901941339_-75.78731910288516_20240807","(TRICHOPTERA) ODONTOCERIDAE"
"171","42.64983901941339_-75.78731910288516_20240807","(DIPTERA) ATHERICIDAE"
"172","42.64983901941339_-75.78731910288516_20240807","(COLEOPTERA) ELMIDAE"
"173","42.64983901941339_-75.78731910288516_20240807","(TRICHOPTERA) HYDROPSYCHIDAE"
"174","42.64983901941339_-75.78731910288516_20240807","(EPHEMEROPTERA) EPHEMERIDAE"
"175","42.64983901941339_-75.78731910288516_20240807","(DIPTERA) TIPULIDAE"
"176","42.64983901941339_-75.78731910288516_20240807","() "
"177","42.64983901941339_-75.78731910288516_20240807","(EPHEMEROPTERA) HEPTAGENIIDAE"
"178","42.64983901941339_-75.78731910288516_20240807","(COLEOPTERA) PSEPHENIDAE"
"179","42.64983901941339_-75.78731910288516_20240807","(TRICHOPTERA) PHILOPOTAMIDAE"
"180","42.64983901941339_-75.78731910288516_20240807","(DIPTERA: CHIRONOMIDAE) CHIRONOMUS"
"181","42.61189369999928_-76.84930299999871_20240817","(DIPTERA) LIMONIIDAE"
"182","42.61189369999928_-76.84930299999871_20240817","(PLECOPTERA) PERLIDAE"
"183","42.61189369999928_-76.84930299999871_20240817","(COLEOPTERA) PSEPHENIDAE"
"184","42.61189369999928_-76.84930299999871_20240817","(WORMLIKE) TRICLADIDA, PLANARIDAE"
"185","42.61189369999928_-76.84930299999871_20240817","(DIPTERA: CHIRONOMIDAE) "
"186","42.61189369999928_-76.84930299999871_20240817","(EPHEMEROPTERA) HEPTAGENIIDAE"
"187","42.868889_-76.994444_20240801","(CRUSTACEA: ISOPODA) ASELLOTA"
"188","42.868889_-76.994444_20240801","(COLEOPTERA) ELMIDAE"
"189","42.868889_-76.994444_20240801","(WORMLIKE) OLIGOCHAETA"
"190","42.868889_-76.994444_20240801","(WORMLIKE) HIRUDINEA"
"191","42.868889_-76.994444_20240801","(DIPTERA: CHIRONOMIDAE) CHIRONOMUS"
"192","42.868889_-76.994444_20240801","(MEGALOPTERA) SIALIDAE"
"193","42.868889_-76.994444_20240801","(EPHEMEROPTERA) HEPTAGENIIDAE"
"194","42.868889_-76.994444_20240801","(ODONATA: ANISOPTERA) AESHNIDAE"
"195","42.49058_-76.913779_20240714","(COLEOPTERA) PSEPHENIDAE"
"196","42.49058_-76.913779_20240714","(CRUSTACEA: AMPHIPODA) GAMMARIDEA"
"197","42.49058_-76.913779_20240714","(TRICHOPTERA) PHILOPOTAMIDAE"
"198","42.49058_-76.913779_20240714","(TRICHOPTERA) RHYACOPHILIDAE"
"199","42.49058_-76.913779_20240714","(TRICHOPTERA) POLYCENTROPODIDAE"
"200","42.49058_-76.913779_20240714","(EPHEMEROPTERA) ISONYCHIIDAE"
"201","42.49058_-76.913779_20240714","(EPHEMEROPTERA) LEPTOHYPHIDAE"
"202","42.49058_-76.913779_20240714","(TRICHOPTERA) HYDROPSYCHIDAE"
"203","42.49058_-76.913779_20240714","(PLECOPTERA) PERLIDAE"
"204","42.49058_-76.913779_20240714","(WORMLIKE) TRICLADIDA, PLANARIDAE"
"205","42.49058_-76.913779_20240714","(COLEOPTERA) ELMIDAE"
"206","42.60344011974672_-75.64507262817537_20240807","(COLEOPTERA) PSEPHENIDAE"
"207","42.60344011974672_-75.64507262817537_20240807","(WORMLIKE) HIRUDINEA"
"208","42.60344011974672_-75.64507262817537_20240807","(PLECOPTERA) PERLIDAE"
"209","42.60344011974672_-75.64507262817537_20240807","(TRICHOPTERA) PHILOPOTAMIDAE"
"210","42.457315_-75.53909_20240808","(DIPTERA) LIMONIIDAE"
"211","42.457315_-75.53909_20240808","(EPHEMEROPTERA) BAETIDAE"
"212","42.457315_-75.53909_20240808","(PLECOPTERA) CHLOROPERLIDAE"
"213","42.457315_-75.53909_20240808","(TRICHOPTERA) PHILOPOTAMIDAE"
"214","42.457315_-75.53909_20240808","(MEGALOPTERA) CORYDALIDAE"
"215","42.457315_-75.53909_20240808","(COLEOPTERA) PSEPHENIDAE"
