"","site_id","lat","long","year","Historical_results","Current_WAVE_Score"
"1","40.662_-73.604",40.662,-73.604,"2019","2019: No Conclusion
2018: No Conclusion","No Conclusion"
"2","40.664_-73.654",40.664,-73.654,"2017","2017: No Conclusion","No Conclusion"
"3","40.691_-73.358",40.691,-73.358,"2017","2017: No Conclusion","No Conclusion"
"4","40.703_-73.328",40.703,-73.328,"2017","2017: No Conclusion","No Conclusion"
"5","40.714_-73.328",40.714,-73.328,"2017","2017: No Conclusion","No Conclusion"
"6","40.732_-73.251",40.732,-73.251,"2017","2017: Possibly Impaired","Possibly Impaired"
"7","40.755_-73.745",40.755,-73.745,"2017","2017: No Conclusion","No Conclusion"
"8","40.773_-73.033",40.773,-73.033,"2017","2017: No Conclusion","No Conclusion"
"9","40.85_-73.224",40.85,-73.224,"2017","2017: Possibly Impaired","Possibly Impaired"
"10","40.885_-73.617",40.885,-73.617,"2017","2017: No Conclusion","No Conclusion"
"11","40.905_-73.814",40.905,-73.814,"2022","2022: No Conclusion","No Conclusion"
"12","40.908_-73.884",40.908,-73.884,"2016","2016: Possibly Impaired","Possibly Impaired"
"13","40.908_-73.89",40.908,-73.89,"2016","2016: No Conclusion","No Conclusion"
"14","40.914_-73.884",40.914,-73.884,"2016","2016: Possibly Impaired","Possibly Impaired"
"15","40.951_-73.798",40.951,-73.798,"2022","2022: No Conclusion","No Conclusion"
"16","40.99_-73.863",40.99,-73.863,"2019","2019: No Conclusion
2018: No Conclusion
2017: No Conclusion
2016: No Conclusion","No Conclusion"
"17","41.019_-73.846",41.019,-73.846,"2019","2019: No Conclusion
2018: No Conclusion
2017: No Conclusion
2016: No Conclusion","No Conclusion"
"18","41.019_-73.947",41.019,-73.947,"2019","2019: No Conclusion","No Conclusion"
"19","41.019_-74.082",41.019,-74.082,"2017","2017: No Conclusion","No Conclusion"
"20","41.02_-73.947",41.02,-73.947,"2018","2018: No Conclusion","No Conclusion"
"21","41.021_-73.947",41.021,-73.947,"2017","2017: No Conclusion","No Conclusion"
"22","41.029_-73.925",41.029,-73.925,"2014","2014: Possibly Impaired","Possibly Impaired"
"23","41.029_-73.926",41.029,-73.926,"2016","2016: Possibly Impaired","Possibly Impaired"
"24","41.03_-73.925",41.03,-73.925,"2016","2016: No Conclusion","No Conclusion"
"25","41.036_-73.907",41.036,-73.907,"2018","2018: No Conclusion","No Conclusion"
"26","41.044_-73.939",41.044,-73.939,"2020","2020: No Conclusion","No Conclusion"
"27","41.045_-73.945",41.045,-73.945,"2017","2017: No Conclusion
2016: No Conclusion","No Conclusion"
"28","41.052_-73.945",41.052,-73.945,"2017","2017: Possibly Impaired","Possibly Impaired"
"29","41.052_-73.946",41.052,-73.946,"2015","2015: No Conclusion","No Conclusion"
"30","41.059_-73.943",41.059,-73.943,"2020","2020: No Conclusion","No Conclusion"
"31","41.059_-73.992",41.059,-73.992,"2019","2019: No Conclusion
2018: No Conclusion
2016: No Conclusion","No Conclusion"
"32","41.059_-73.993",41.059,-73.993,"2017","2017: No Conclusion","No Conclusion"
"33","41.06_-74.024",41.06,-74.024,"2016","2016: Possibly Impaired
2015: No Conclusion","Possibly Impaired"
"34","41.062_-73.946",41.062,-73.946,"2016","2016: No Conclusion","No Conclusion"
"35","41.066_-74.039",41.066,-74.039,"2017","2017: No Conclusion","No Conclusion"
"36","41.068_-74.026",41.068,-74.026,"2019","2019: No Conclusion
2018: No Conclusion
2017: No Conclusion","No Conclusion"
"37","41.068_-74.04",41.068,-74.04,"2019","2019: No Conclusion
2018: No Conclusion","No Conclusion"
"38","41.069_-73.938",41.069,-73.938,"2017","2017: No Conclusion
2016: No Known Impact","No Conclusion"
"39","41.083_-74.082",41.083,-74.082,"2016","2016: No Conclusion
2015: Possibly Impaired","No Conclusion"
"40","41.086_-73.963",41.086,-73.963,"2016","2016: Possibly Impaired","Possibly Impaired"
"41","41.087_-74.08",41.087,-74.08,"2019","2019: No Conclusion","No Conclusion"
"42","41.088_-73.918",41.088,-73.918,"2022","2022: No Conclusion","No Conclusion"
"43","41.091_-74.083",41.091,-74.083,"2022","2022: No Conclusion","No Conclusion"
"44","41.092_-74.083",41.092,-74.083,"2018","2018: No Conclusion","No Conclusion"
"45","41.114_-74.22",41.114,-74.22,"2016","2016: No Conclusion","No Conclusion"
"46","41.118_-73.944",41.118,-73.944,"2019","2019: No Conclusion
2018: No Conclusion","No Conclusion"
"47","41.118_-73.945",41.118,-73.945,"2017","2017: No Conclusion","No Conclusion"
"48","41.118_-74.044",41.118,-74.044,"2016","2016: No Conclusion
2015: Possibly Impaired","No Conclusion"
"49","41.121_-73.833",41.121,-73.833,"2012","2012: No Conclusion","No Conclusion"
"50","41.121_-73.867",41.121,-73.867,"2012","2012: No Conclusion","No Conclusion"
"51","41.126_-73.448",41.126,-73.448,"2017","2017: No Conclusion","No Conclusion"
"52","41.132_-73.819",41.132,-73.819,"2012","2012: Possibly Impaired
2012: Possibly Impaired","Possibly Impaired"
"53","41.133_-74.008",41.133,-74.008,"2022","2022: No Conclusion","No Conclusion"
"54","41.134_-73.59",41.134,-73.59,"2016","2016: No Conclusion","No Conclusion"
"55","41.134_-73.943",41.134,-73.943,"2022","2022: No Conclusion
2019: No Conclusion
2018: Possibly Impaired
2017: Possibly Impaired","No Conclusion"
"56","41.135_-74.163",41.135,-74.163,"2018","2018: No Conclusion
2017: No Conclusion
2016: No Conclusion","No Conclusion"
"57","41.135_-74.164",41.135,-74.164,"2019","2019: No Conclusion","No Conclusion"
"58","41.144_-74.115",41.144,-74.115,"2018","2018: No Conclusion
2017: No Conclusion","No Conclusion"
"59","41.145_-74.115",41.145,-74.115,"2016","2016: No Conclusion","No Conclusion"
"60","41.146_-71.114",41.146,-71.114,"2019","2019: No Conclusion","No Conclusion"
"61","41.146_-73.861",41.146,-73.861,"2014","2014: Possibly Impaired","Possibly Impaired"
"62","41.146_-73.994",41.146,-73.994,"2022","2022: No Conclusion
2019: No Conclusion","No Conclusion"
"63","41.146_-73.996",41.146,-73.996,"2017","2017: No Conclusion","No Conclusion"
"64","41.146_-74.114",41.146,-74.114,"2022","2022: No Conclusion
2016: No Conclusion","No Conclusion"
"65","41.147_-73.998",41.147,-73.998,"2016","2016: Possibly Impaired
2015: No Conclusion","Possibly Impaired"
"66","41.147_-74.112",41.147,-74.112,"2015","2015: No Known Impact","No Known Impact"
"67","41.15_-74.096",41.15,-74.096,"2016","2016: No Conclusion
2015: Possibly Impaired","No Conclusion"
"68","41.151_-74.197",41.151,-74.197,"2013","2013: No Conclusion","No Conclusion"
"69","41.155_-74.196",41.155,-74.196,"2019","2019: No Known Impact
2017: No Conclusion
2016: No Known Impact
2015: No Known Impact","No Known Impact"
"70","41.158_-73.967",41.158,-73.967,"2017","2017: No Conclusion","No Conclusion"
"71","41.162_-74.008",41.162,-74.008,"2017","2017: No Conclusion","No Conclusion"
"72","41.162_-74.188",41.162,-74.188,"2015","2015: No Known Impact","No Known Impact"
"73","41.162_-74.189",41.162,-74.189,"2016","2016: No Conclusion
2013: Possibly Impaired","No Conclusion"
"74","41.164_-73.862",41.164,-73.862,"2014","2014: No Conclusion","No Conclusion"
"75","41.164_-74.006",41.164,-74.006,"2017","2017: No Conclusion
2016: No Conclusion","No Conclusion"
"76","41.165_-74.008",41.165,-74.008,"2017","2017: Possibly Impaired","Possibly Impaired"
"77","41.173_-74",41.173,-74,"2015","2015: No Conclusion","No Conclusion"
"78","41.174_-74",41.174,-74,"2016","2016: No Conclusion","No Conclusion"
"79","41.175_-74",41.175,-74,"2019","2019: No Conclusion","No Conclusion"
"80","41.175_-74.001",41.175,-74.001,"2018","2018: No Conclusion","No Conclusion"
"81","41.184_-74.014",41.184,-74.014,"2015","2015: No Conclusion","No Conclusion"
"82","41.185_-73.869",41.185,-73.869,"2014","2014: No Conclusion","No Conclusion"
"83","41.186_-74.012",41.186,-74.012,"2017","2017: No Conclusion","No Conclusion"
"84","41.191_-73.87",41.191,-73.87,"2014","2014: No Conclusion","No Conclusion"
"85","41.192_-74.042",41.192,-74.042,"2015","2015: Possibly Impaired","Possibly Impaired"
"86","41.196_-74.039",41.196,-74.039,"2019","2019: No Conclusion
2018: No Conclusion
2017: No Conclusion","No Conclusion"
"87","41.2_-74.027",41.2,-74.027,"2022","2022: No Conclusion
2020: No Conclusion","No Conclusion"
"88","41.203_-73.969",41.203,-73.969,"2017","2017: No Conclusion","No Conclusion"
"89","41.203_-73.971",41.203,-73.971,"2019","2019: No Conclusion","No Conclusion"
"90","41.203_-73.972",41.203,-73.972,"2018","2018: No Conclusion","No Conclusion"
"91","41.204_-73.967",41.204,-73.967,"2015","2015: No Conclusion","No Conclusion"
"92","41.204_-73.971",41.204,-73.971,"2016","2016: No Conclusion","No Conclusion"
"93","41.207_-73.989",41.207,-73.989,"2020","2020: No Conclusion","No Conclusion"
"94","41.208_-73.726",41.208,-73.726,"2016","2016: No Conclusion","No Conclusion"
"95","41.208_-73.989",41.208,-73.989,"2020","2020: No Conclusion","No Conclusion"
"96","41.223_-74.396",41.223,-74.396,"2012","2012: No Known Impact","No Known Impact"
"97","41.225_-73.985",41.225,-73.985,"2017","2017: No Conclusion","No Conclusion"
"98","41.227_-73.984",41.227,-73.984,"2019","2019: No Conclusion","No Conclusion"
"99","41.227_-73.985",41.227,-73.985,"2018","2018: No Conclusion
2015: No Known Impact","No Conclusion"
"100","41.25_-74.384",41.25,-74.384,"2012","2012: No Conclusion","No Conclusion"
"101","41.252_-73.333",41.252,-73.333,"2017","2017: No Conclusion","No Conclusion"
"102","41.252_-74.056",41.252,-74.056,"2016","2016: No Known Impact","No Known Impact"
"103","41.257_-73.589",41.257,-73.589,"2012","2012: No Conclusion","No Conclusion"
"104","41.257_-74.002",41.257,-74.002,"2017","2017: No Conclusion","No Conclusion"
"105","41.259_-73.577",41.259,-73.577,"2014","2014: No Conclusion
2012: No Known Impact","No Conclusion"
"106","41.26_-73.602",41.26,-73.602,"2012","2012: No Known Impact","No Known Impact"
"107","41.262_-73.596",41.262,-73.596,"2017","2017: No Conclusion","No Conclusion"
"108","41.262_-73.844",41.262,-73.844,"2016","2016: No Conclusion","No Conclusion"
"109","41.29_-73.373",41.29,-73.373,"2017","2017: No Conclusion","No Conclusion"
"110","41.294_-74.436",41.294,-74.436,"2013","2013: Possibly Impaired","Possibly Impaired"
"111","41.3_-73.987",41.3,-73.987,"2017","2017: No Conclusion","No Conclusion"
"112","41.315_-73.931",41.315,-73.931,"2012","2012: No Conclusion
2012: No Conclusion
2012: No Conclusion","No Conclusion"
"113","41.325_-73.74",41.325,-73.74,"2012","2012: No Conclusion
2012: Possibly Impaired","Possibly Impaired"
"114","41.327_-73.582",41.327,-73.582,"2015","2015: No Conclusion
2014: No Conclusion
2013: No Conclusion
2012: No Conclusion","No Conclusion"
"115","41.341_-74.544",41.341,-74.544,"2018","2018: No Known Impact","No Known Impact"
"116","41.35_-73.913",41.35,-73.913,"2018","2018: No Conclusion","No Conclusion"
"117","41.378_-74.678",41.378,-74.678,"2016","2016: No Conclusion","No Conclusion"
"118","41.385_-74.013",41.385,-74.013,"2012","2012: No Conclusion","No Conclusion"
"119","41.401_-74.092",41.401,-74.092,"2016","2016: No Conclusion","No Conclusion"
"120","41.402_-74.341",41.402,-74.341,"2018","2018: No Conclusion","No Conclusion"
"121","41.404_-74.027",41.404,-74.027,"2012","2012: No Conclusion","No Conclusion"
"122","41.408_-73.56",41.408,-73.56,"2016","2016: No Conclusion","No Conclusion"
"123","41.409_-74.073",41.409,-74.073,"2013","2013: No Known Impact","No Known Impact"
"124","41.409_-74.373",41.409,-74.373,"2013","2013: No Conclusion","No Conclusion"
"125","41.415_-74.533",41.415,-74.533,"2013","2013: No Known Impact","No Known Impact"
"126","41.417_-74.167",41.417,-74.167,"2016","2016: Possibly Impaired","Possibly Impaired"
"127","41.419_-74.022",41.419,-74.022,"2012","2012: No Known Impact","No Known Impact"
"128","41.424_-73.558",41.424,-73.558,"2016","2016: No Conclusion","No Conclusion"
"129","41.43_-74.422",41.43,-74.422,"2016","2016: Possibly Impaired","Possibly Impaired"
"130","41.431_-74.201",41.431,-74.201,"2016","2016: No Conclusion","No Conclusion"
"131","41.443_-74.004",41.443,-74.004,"2013","2013: No Conclusion
2012: No Conclusion","No Conclusion"
"132","41.446_-73.604",41.446,-73.604,"2016","2016: No Conclusion","No Conclusion"
"133","41.447_-73.732",41.447,-73.732,"2016","2016: No Conclusion","No Conclusion"
"134","41.459_-73.92",41.459,-73.92,"2012","2012: No Known Impact","No Known Impact"
"135","41.465_-74.387",41.465,-74.387,"2018","2018: No Conclusion","No Conclusion"
"136","41.471_-73.748",41.471,-73.748,"2012","2012: No Conclusion","No Conclusion"
"137","41.472_-73.787",41.472,-73.787,"2013","2013: No Conclusion","No Conclusion"
"138","41.483_-74.086",41.483,-74.086,"2016","2016: Possibly Impaired","Possibly Impaired"
"139","41.484_-73.626",41.484,-73.626,"2013","2013: No Conclusion","No Conclusion"
"140","41.486_-74.083",41.486,-74.083,"2016","2016: No Conclusion","No Conclusion"
"141","41.486_-74.088",41.486,-74.088,"2016","2016: Possibly Impaired","Possibly Impaired"
"142","41.486_-74.332",41.486,-74.332,"2013","2013: No Conclusion","No Conclusion"
"143","41.486_-74.574",41.486,-74.574,"2015","2015: No Conclusion","No Conclusion"
"144","41.488_-74.013",41.488,-74.013,"2013","2013: No Conclusion","No Conclusion"
"145","41.49_-73.844",41.49,-73.844,"2012","2012: No Conclusion","No Conclusion"
"146","41.49_-74.622",41.49,-74.622,"2013","2013: No Known Impact","No Known Impact"
"147","41.494_-73.546",41.494,-73.546,"2017","2017: No Conclusion","No Conclusion"
"148","41.495_-73.536",41.495,-73.536,"2016","2016: No Known Impact","No Known Impact"
"149","41.495_-74.042",41.495,-74.042,"2014","2014: No Conclusion","No Conclusion"
"150","41.501_-74.073",41.501,-74.073,"2017","2017: No Conclusion","No Conclusion"
"151","41.502_-73.836",41.502,-73.836,"2012","2012: No Conclusion","No Conclusion"
"152","41.502_-74.037",41.502,-74.037,"2014","2014: No Conclusion","No Conclusion"
"153","41.503_-73.948",41.503,-73.948,"2016","2016: No Conclusion","No Conclusion"
"154","41.508_-73.586",41.508,-73.586,"2017","2017: No Conclusion
2016: Possibly Impaired","No Conclusion"
"155","41.51_-73.683",41.51,-73.683,"2013","2013: No Known Impact","No Known Impact"
"156","41.511_-73.612",41.511,-73.612,"2016","2016: No Conclusion","No Conclusion"
"157","41.512_-73.617",41.512,-73.617,"2013","2013: No Known Impact","No Known Impact"
"158","41.522_-74.46",41.522,-74.46,"2016","2016: No Known Impact","No Known Impact"
"159","41.528_-74.006",41.528,-74.006,"2012","2012: No Conclusion
2012: No Known Impact","No Known Impact"
"160","41.532_-74.062",41.532,-74.062,"2014","2014: No Conclusion","No Conclusion"
"161","41.534_-73.581",41.534,-73.581,"2016","2016: No Conclusion","No Conclusion"
"162","41.536_-73.581",41.536,-73.581,"2017","2017: No Conclusion","No Conclusion"
"163","41.538_-73.613",41.538,-73.613,"2017","2017: No Conclusion","No Conclusion"
"164","41.538_-73.955",41.538,-73.955,"2022","2022: No Conclusion","No Conclusion"
"165","41.54_-74.041",41.54,-74.041,"2012","2012: Possibly Impaired","Possibly Impaired"
"166","41.545_-73.862",41.545,-73.862,"2012","2012: No Conclusion","No Conclusion"
"167","41.552_-74.044",41.552,-74.044,"2016","2016: No Known Impact","No Known Impact"
"168","41.555_-74.43",41.555,-74.43,"2016","2016: No Conclusion","No Conclusion"
"169","41.557_-74.045",41.557,-74.045,"2012","2012: No Known Impact","No Known Impact"
"170","41.558_-74.158",41.558,-74.158,"2012","2012: No Known Impact
2012: No Known Impact","No Known Impact"
"171","41.562_-73.6",41.562,-73.6,"2019","2019: No Conclusion
2017: No Conclusion","No Conclusion"
"172","41.565_-74.178",41.565,-74.178,"2016","2016: No Conclusion","No Conclusion"
"173","41.567_-73.614",41.567,-73.614,"2019","2019: No Conclusion","No Conclusion"
"174","41.568_-73.596",41.568,-73.596,"2016","2016: No Conclusion","No Conclusion"
"175","41.568_-73.615",41.568,-73.615,"2017","2017: No Known Impact","No Known Impact"
"176","41.568_-73.912",41.568,-73.912,"2016","2016: No Conclusion","No Conclusion"
"177","41.57_-74.285",41.57,-74.285,"2013","2013: No Known Impact","No Known Impact"
"178","41.572_-73.608",41.572,-73.608,"2017","2017: No Conclusion","No Conclusion"
"179","41.578_-73.802",41.578,-73.802,"2012","2012: Possibly Impaired","Possibly Impaired"
"180","41.582_-74.33",41.582,-74.33,"2013","2013: No Conclusion","No Conclusion"
"181","41.582_-74.569",41.582,-74.569,"2013","2013: No Known Impact","No Known Impact"
"182","41.585_-73.6",41.585,-73.6,"2017","2017: No Known Impact
2016: No Conclusion","No Known Impact"
"183","41.585_-74.079",41.585,-74.079,"2013","2013: No Conclusion
2013: No Conclusion","No Conclusion"
"184","41.588_-73.79",41.588,-73.79,"2012","2012: No Known Impact","No Known Impact"
"185","41.589_-73.584",41.589,-73.584,"2017","2017: No Known Impact
2014: No Conclusion","No Known Impact"
"186","41.593_-73.926",41.593,-73.926,"2015","2015: No Conclusion","No Conclusion"
"187","41.597_-74.486",41.597,-74.486,"2015","2015: No Conclusion","No Conclusion"
"188","41.603_-74.08",41.603,-74.08,"2013","2013: Possibly Impaired","Possibly Impaired"
"189","41.604_-74.327",41.604,-74.327,"2016","2016: No Known Impact","No Known Impact"
"190","41.607_-74.074",41.607,-74.074,"2017","2017: No Conclusion
2013: No Conclusion","No Conclusion"
"191","41.61_-73.747",41.61,-73.747,"2013","2013: No Conclusion","No Conclusion"
"192","41.617_-73.824",41.617,-73.824,"2015","2015: No Conclusion","No Conclusion"
"193","41.621_-73.654",41.621,-73.654,"2013","2013: No Conclusion","No Conclusion"
"194","41.625_-73.942",41.625,-73.942,"2013","2013: No Conclusion","No Conclusion"
"195","41.627_-74.816",41.627,-74.816,"2017","2017: No Conclusion","No Conclusion"
"196","41.64_-74.447",41.64,-74.447,"2016","2016: No Known Impact","No Known Impact"
"197","41.644_-74.442",41.644,-74.442,"2013","2013: No Conclusion","No Conclusion"
"198","41.648_-73.593",41.648,-73.593,"2019","2019: No Conclusion","No Conclusion"
"199","41.648_-74.264",41.648,-74.264,"2016","2016: No Known Impact","No Known Impact"
"200","41.656_-73.537",41.656,-73.537,"2014","2014: No Known Impact","No Known Impact"
"201","41.66_-74.808",41.66,-74.808,"2017","2017: Possibly Impaired","Possibly Impaired"
"202","41.665_-74.479",41.665,-74.479,"2013","2013: No Conclusion
2013: No Known Impact","No Known Impact"
"203","41.665_-74.814",41.665,-74.814,"2017","2017: No Conclusion","No Conclusion"
"204","41.676_-74.263",41.676,-74.263,"2013","2013: No Known Impact","No Known Impact"
"205","41.682_-73.893",41.682,-73.893,"2016","2016: No Conclusion","No Conclusion"
"206","41.684_-73.866",41.684,-73.866,"2013","2013: No Known Impact","No Known Impact"
"207","41.686_-74.165",41.686,-74.165,"2016","2016: Possibly Impaired","Possibly Impaired"
"208","41.688_-74.173",41.688,-74.173,"2016","2016: No Known Impact","No Known Impact"
"209","41.696_-74.101",41.696,-74.101,"2012","2012: No Conclusion
2012: No Conclusion
2012: No Conclusion","No Conclusion"
"210","41.699_-73.866",41.699,-73.866,"2013","2013: No Conclusion","No Conclusion"
"211","41.701_-73.889",41.701,-73.889,"2014","2014: Possibly Impaired","Possibly Impaired"
"212","41.707_-73.924",41.707,-73.924,"2016","2016: No Conclusion","No Conclusion"
"213","41.709_-73.939",41.709,-73.939,"2014","2014: No Conclusion","No Conclusion"
"214","41.717_-74.012",41.717,-74.012,"2013","2013: No Conclusion","No Conclusion"
"215","41.72_-73.957",41.72,-73.957,"2016","2016: No Conclusion","No Conclusion"
"216","41.72_-74.392",41.72,-74.392,"2013","2013: No Known Impact","No Known Impact"
"217","41.724_-74.458",41.724,-74.458,"2016","2016: No Known Impact","No Known Impact"
"218","41.725_-74.105",41.725,-74.105,"2012","2012: No Known Impact","No Known Impact"
"219","41.728_-73.585",41.728,-73.585,"2016","2016: No Known Impact","No Known Impact"
"220","41.728_-73.586",41.728,-73.586,"2014","2014: No Known Impact","No Known Impact"
"221","41.73_-73.972",41.73,-73.972,"2016","2016: No Known Impact","No Known Impact"
"222","41.735_-73.576",41.735,-73.576,"2016","2016: Possibly Impaired","Possibly Impaired"
"223","41.735_-73.581",41.735,-73.581,"2014","2014: No Known Impact","No Known Impact"
"224","41.735_-74.234",41.735,-74.234,"2017","2017: No Conclusion","No Conclusion"
"225","41.737_-73.571",41.737,-73.571,"2016","2016: No Conclusion","No Conclusion"
"226","41.738_-74.377",41.738,-74.377,"2013","2013: No Known Impact","No Known Impact"
"227","41.739_-73.585",41.739,-73.585,"2014","2014: No Known Impact","No Known Impact"
"228","41.74_-74.664",41.74,-74.664,"2017","2017: No Conclusion
2016: No Conclusion","No Conclusion"
"229","41.741_-73.827",41.741,-73.827,"2014","2014: No Known Impact","No Known Impact"
"230","41.754_-74.073",41.754,-74.073,"2016","2016: Possibly Impaired","Possibly Impaired"
"231","41.757_-74.357",41.757,-74.357,"2016","2016: No Conclusion","No Conclusion"
"232","41.762_-73.9",41.762,-73.9,"2012","2012: No Conclusion","No Conclusion"
"233","41.763_-74.333",41.763,-74.333,"2015","2015: No Known Impact","No Known Impact"
"234","41.765_-74.941",41.765,-74.941,"2013","2013: No Known Impact","No Known Impact"
"235","41.77_-74.311",41.77,-74.311,"2015","2015: No Conclusion","No Conclusion"
"236","41.774_-74.174",41.774,-74.174,"2016","2016: No Conclusion","No Conclusion"
"237","41.774_-74.296",41.774,-74.296,"2014","2014: No Conclusion","No Conclusion"
"238","41.775_-74.098",41.775,-74.098,"2013","2013: Possibly Impaired","Possibly Impaired"
"239","41.776_-74.322",41.776,-74.322,"2013","2013: No Conclusion","No Conclusion"
"240","41.778_-74.225",41.778,-74.225,"2015","2015: No Known Impact","No Known Impact"
"241","41.787_-73.923",41.787,-73.923,"2016","2016: Possibly Impaired","Possibly Impaired"
"242","41.788_-73.923",41.788,-73.923,"2018","2018: No Conclusion","No Conclusion"
"243","41.792_-73.726",41.792,-73.726,"2012","2012: No Known Impact","No Known Impact"
"244","41.794_-74.18",41.794,-74.18,"2015","2015: No Conclusion","No Conclusion"
"245","41.797_-74.247",41.797,-74.247,"2012","2012: No Known Impact","No Known Impact"
"246","41.799_-74.213",41.799,-74.213,"2017","2017: No Conclusion","No Conclusion"
"247","41.81_-74.374",41.81,-74.374,"2016","2016: No Conclusion","No Conclusion"
"248","41.814_-73.559",41.814,-73.559,"2015","2015: No Known Impact","No Known Impact"
"249","41.821_-73.962",41.821,-73.962,"2017","2017: No Conclusion","No Conclusion"
"250","41.828_-73.566",41.828,-73.566,"2015","2015: No Known Impact","No Known Impact"
"251","41.832_-74.032",41.832,-74.032,"2016","2016: No Known Impact","No Known Impact"
"252","41.835_-73.566",41.835,-73.566,"2015","2015: No Known Impact","No Known Impact"
"253","41.842_-73.561",41.842,-73.561,"2015","2015: No Conclusion","No Conclusion"
"254","41.843_-74.086",41.843,-74.086,"2015","2015: No Known Impact","No Known Impact"
"255","41.844_-73.563",41.844,-73.563,"2015","2015: No Conclusion","No Conclusion"
"256","41.844_-74.076",41.844,-74.076,"2019","2019: No Conclusion
2017: Possibly Impaired
2016: No Conclusion","No Conclusion"
"257","41.857_-73.514",41.857,-73.514,"2014","2014: No Conclusion","No Conclusion"
"258","41.857_-73.885",41.857,-73.885,"2018","2018: No Conclusion","No Conclusion"
"259","41.867_-73.556",41.867,-73.556,"2015","2015: No Known Impact","No Known Impact"
"260","41.868_-73.502",41.868,-73.502,"2014","2014: No Conclusion","No Conclusion"
"261","41.873_-75.017",41.873,-75.017,"2022","2022: No Conclusion","No Conclusion"
"262","41.874_-75.07",41.874,-75.07,"2022","2022: No Known Impact","No Known Impact"
"263","41.882_-73.927",41.882,-73.927,"2019","2019: No Conclusion","No Conclusion"
"264","41.883_-74.159",41.883,-74.159,"2012","2012: No Conclusion","No Conclusion"
"265","41.903_-74.163",41.903,-74.163,"2013","2013: No Conclusion","No Conclusion"
"266","41.904_-74.164",41.904,-74.164,"2013","2013: No Known Impact","No Known Impact"
"267","41.904_74.813",41.904,74.813,"2018","2018: No Known Impact","No Known Impact"
"268","41.91_-74.006",41.91,-74.006,"2017","2017: No Conclusion","No Conclusion"
